Country/Region,ConfirmedCases,Fatalities,2018_population,2018_pop_growth,2018_pop_density,2018_gdp_per_capita,2018_gdp_growth
Afghanistan,24.0,0.0,37172386.0,2.3847611,56.93776001,520.8966027,-1.350178336
Albania,76.0,2.0,2866376.0,-0.246732042,104.6122628,5268.848504,4.40251487
Algeria,139.0,15.0,42228429.0,2.00737383,17.73007507,4114.715061,-0.615183264
Andorra,88.0,0.0,77006.0,0.006493211,163.8425532,42029.76274,1.6227466769999999
Antigua and Barbuda,1.0,0.0,96286.0,0.89718512,218.83181820000001,16726.98081,6.430026467
Argentina,158.0,4.0,44494502.0,1.015808349,16.2585101,11683.94962,-3.467376243
Armenia,160.0,0.0,2951776.0,0.236306379,103.6802248,4212.070943,4.95169918
Aruba,0.0,0.0,105845.0,0.453575639,588.0277778,,
Austria,2814.0,8.0,8847037.0,0.560750838,107.2069267,51461.95478,1.8470512
Azerbaijan,53.0,1.0,9942334.0,0.892098895,120.26531990000001,4721.178086999999,0.512193853
Bahrain,305.0,1.0,1569439.0,4.921161372,2017.2737,24050.75751,-3.110625106
Bangladesh,25.0,2.0,161356039.0,1.050044649,1239.5793119999998,1698.262802,6.737017522
Barbados,6.0,0.0,286641.0,0.142439723,666.6069767000001,17949.28151,-0.640057736
Belarus,76.0,0.0,9485386.0,-0.135674667,46.7287999,6289.938553,3.1898130539999996
Belgium,2815.0,67.0,11422068.0,0.41154188,377.2149273,47518.63604,1.041719531
Benin,2.0,0.0,11485048.0,2.734862013,101.8539198,901.5438712000001,3.9751835960000004
Bhutan,2.0,0.0,754394.0,1.176843395,19.77752777,3243.231125,1.822273166
Bolivia,19.0,0.0,11353142.0,1.421899486,10.48014585,3548.59014,2.752155942
Bosnia and Herzegovina,93.0,1.0,3323929.0,-0.826854592,64.92048828,6065.672708,4.483914305
Brazil,1021.0,15.0,209469333.0,0.783847579,25.06171624,8920.762105,0.328077907
Brunei,83.0,0.0,,,,,
Bulgaria,163.0,3.0,7024216.0,-0.733767859,64.70353721,9272.629304,3.840315458
Burkina Faso,64.0,2.0,19751535.0,2.867078367,72.19128289,715.122904,3.812912022
Cambodia,53.0,0.0,16249798.0,1.490355371,92.05641287,1510.324871,5.90774125
Cameroon,27.0,0.0,25216237.0,2.612290751,53.34398891,1533.74214,1.3791919819999998
Central African Republic,3.0,0.0,4666377.0,1.519051537,7.490412212000001,475.7212505,2.224742848
Chile,537.0,0.0,18729160.0,1.391010541,25.18944607,15923.358740000001,2.587676494
Colombia,196.0,0.0,49648685.0,1.517270891,44.74870212,6667.7907,1.024714856
Congo (Brazzaville),3.0,0.0,,,,,
Congo (Kinshasa),23.0,1.0,,,,,
Costa Rica,117.0,2.0,4999441.0,0.994782258,97.91306306,12027.36588,1.618061785
Cote d'Ivoire,14.0,0.0,25069229.0,2.552358861,78.83405346,1715.531332,4.725692099
Croatia,206.0,1.0,4089400.0,-0.855405633,73.077198,14909.69319,3.5124607169999997
Cuba,21.0,1.0,11338138.0,-0.009886496,108.9995962,8821.818890999999,2.258589685
Cyprus,84.0,0.0,1189265.0,0.809225398,128.7083333,28159.3017,2.745155679
Czechia,995.0,0.0,,,,,
Djibouti,1.0,0.0,958920.0,1.557873607,41.36842105,3082.543099,3.82998552
Dominican Republic,112.0,2.0,10627165.0,1.078841148,219.9785759,8050.6316019999995,5.834559566
Ecuador,506.0,7.0,17084357.0,1.765611201,68.78868175,6344.871979,-0.39708990299999997
Egypt,294.0,10.0,,,,,
Equatorial Guinea,6.0,0.0,1308974.0,3.654506773,46.66573975,10261.76001,-9.497352682999999
Estonia,306.0,0.0,1320884.0,0.26532574,30.38610536,23266.34627,4.483568571
Eswatini,1.0,0.0,1136191.0,1.011798397,66.05761628,4145.974112,1.3206453390000001
Ethiopia,9.0,0.0,109224559.0,2.620013482,109.22455900000001,772.3135302999999,4.048070238999999
Finland,523.0,1.0,5518050.0,0.178410432,18.15685565,50152.34014,1.490208143
French Guiana,0.0,0.0,,,,,
Gabon,4.0,1.0,2119275.0,2.602954061,8.224764233,7952.525893000001,-1.755039188
"Gambia, The",1.0,0.0,2280102.0,2.946722281,225.30652169999996,716.118489,3.4531888619999997
Georgia,49.0,0.0,3731000.0,0.080332445,65.27520207,4717.143026,4.715845403
Germany,22213.0,84.0,82927922.0,0.32722815,237.37096980000004,47603.027630000004,1.195762891
Ghana,19.0,1.0,29767108.0,2.192828837,130.8214292,2202.312164,3.958667147
Greece,530.0,13.0,10727668.0,-0.251471725,83.22473235,20324.25356,2.191029524
Greenland,0.0,0.0,56025.0,-0.26025898,0.136496528,,3.4870113910000002
Guadeloupe,0.0,0.0,,,,,
Guam,0.0,0.0,165768.0,0.901084422,306.9777778,35712.562139999995,-1.162983053
Guatemala,17.0,1.0,17247807.0,1.948798636,160.9537794,4549.010081,1.154413801
Guernsey,0.0,0.0,,,,,
Guinea,2.0,0.0,12414318.0,2.833136353,50.52221227,878.5996133,3.19829413
Guyana,7.0,1.0,779004.0,0.486803065,3.957348235,4979.002188,3.5944710189999998
Holy See,1.0,0.0,,,,,
Honduras,24.0,0.0,9587522.0,1.667103614,85.68703191,2500.113213,2.030375238
Hungary,103.0,4.0,9768785.0,-0.19615739,107.9066055,16161.98051,5.300354538000001
Iceland,473.0,1.0,353574.0,2.919685018,3.526922693,73191.11632,1.6013079819999998
India,330.0,4.0,1352617328.0,1.03732336,454.9380726,2009.978857,5.709116885
Indonesia,450.0,38.0,267663435.0,1.133769861,147.75219009999998,3893.596078,3.9856042260000004
Iran,20610.0,1556.0,,,,,
Iraq,214.0,17.0,38433600.0,2.318464028,88.53057004,5834.166211,-2.841642694
Ireland,785.0,3.0,4853506.0,0.954742911,70.45298302,78806.432,7.142041132
Israel,883.0,1.0,8883800.0,1.937879943,410.52680219999996,41715.02928,1.4681944830000002
Italy,53578.0,4825.0,60431283.0,-0.174304004,205.4507479,34483.204,0.950146897
Jamaica,16.0,1.0,2934855.0,0.47823514,270.9930748,5354.236859000001,1.454524928
Japan,1007.0,35.0,126529100.0,-0.202670345,347.0734584,39289.95843,0.992931322
Jersey,0.0,0.0,,,,,
Jordan,85.0,0.0,9956011.0,1.792156922,112.1424983,4241.788782,0.129635568
Kazakhstan,53.0,0.0,18276499.0,1.314780146,6.769825907,9812.601137,2.7402721710000004
Kenya,7.0,0.0,51393010.0,2.305948675,90.29941666,1710.5100969999999,3.896152981
"Korea, South",8799.0,102.0,,,,,
Kosovo,2.0,0.0,1845300.0,0.794345853,,4302.276483,2.991943369
Kuwait,176.0,0.0,4137309.0,1.982439531,232.1722222,33994.40657,-0.7413607390000001
Kyrgyzstan,14.0,0.0,,,,,
Latvia,124.0,0.0,1926542.0,-0.811937907,30.98330653,17860.6172,5.473690576
Lebanon,187.0,4.0,6848925.0,0.54245866,669.4941349,8269.787676,-0.34208130200000003
Liberia,3.0,0.0,4818977.0,2.452522593,50.03090739,677.3221785000001,-1.229759965
Liechtenstein,37.0,0.0,37910.0,0.29058269,236.9375,,
Lithuania,83.0,1.0,2789533.0,-1.383804311,44.53135138,19153.40899,5.088966615
Luxembourg,670.0,8.0,607728.0,1.892314684,250.0938272,116639.888,1.178000117
Malaysia,1183.0,4.0,31528585.0,1.352511651,95.96282149,11373.233,3.3345011010000003
Maldives,13.0,0.0,515696.0,3.813136225,1718.9866670000001,10330.615609999999,2.8897308369999997
Malta,73.0,0.0,483530.0,3.264720138,1511.03125,30098.283310000003,3.3427973110000004
Martinique,32.0,1.0,,,,,
Mauritania,2.0,0.0,4403319.0,2.780434406,4.272163578,1188.8345880000002,0.714678742
Mauritius,14.0,1.0,1265303.0,0.054547267,623.3019704,11238.69039,3.717228566
Mayotte,0.0,0.0,,,,,
Mexico,203.0,2.0,126190788.0,1.126421149,64.91462641,9673.443674,0.991932458
Moldova,80.0,1.0,3545883.0,-0.093388678,123.5198035,3227.3121920000003,3.496608997
Monaco,11.0,0.0,38682.0,0.7525271,,185741.28,5.304565431
Mongolia,10.0,0.0,3170208.0,1.79600998,2.040608667,4121.732435,5.317252546000001
Montenegro,14.0,0.0,622345.0,-0.004499011,46.27100372,8844.236985,5.082587772
Morocco,96.0,3.0,36029138.0,1.250794964,80.72851893,3237.883368,1.6486305140000002
Namibia,3.0,0.0,2448255.0,1.882279294,2.973745582,5931.453886,-2.4008197719999997
Nepal,1.0,0.0,28087871.0,1.653980239,195.9391071,1033.912431,4.9079469410000005
New Zealand,52.0,0.0,4885500.0,1.892735802,18.55417569,41945.33167,0.846632297
Nigeria,22.0,0.0,195874740.0,2.586545852,215.06498900000003,2028.1819699999999,-0.66557908
North Macedonia,85.0,0.0,2082958.0,0.046194989,82.59151467,6083.718948,2.617176945
Norway,2118.0,7.0,5314336.0,0.705638419,14.55491954,81697.24597999999,0.577326046
Oman,52.0,0.0,4829483.0,3.445117966,15.6041454,16415.15728,-1.682101824
Pakistan,730.0,3.0,212215030.0,2.05587987,275.28931869999997,1482.403063,3.67671211
Panama,200.0,1.0,4176873.0,1.69258055,56.18607748,15575.07255,1.9369640730000002
Paraguay,18.0,1.0,6956071.0,1.287844517,17.50835892,5821.814323,2.349990344
Peru,318.0,5.0,31989256.0,1.718246517,24.99160625,6941.235848,2.205617031
Philippines,307.0,19.0,106651922.0,1.39613428,357.6883053,3102.713363,4.770738946
Poland,536.0,5.0,37978548.0,0.00980075,124.0358862,15420.91116,5.137713695
Portugal,1280.0,12.0,10281762.0,-0.180137491,112.2394535,23407.906590000002,2.625968365
Puerto Rico,0.0,0.0,3195153.0,-3.983500085,360.22018039999995,31651.34815,-1.0410806190000002
Qatar,481.0,0.0,2781677.0,2.068684466,239.5931955,68793.78444,-0.584669133
Republic of the Congo,0.0,0.0,,,,,
Reunion,0.0,0.0,,,,,
Romania,367.0,0.0,19473936.0,-0.581419209,84.63984701,12301.1864,4.559978445
Russia,306.0,1.0,,,,,
Rwanda,17.0,0.0,12301939.0,2.644008891,498.65987029999997,772.9444599,5.772764955
Saint Lucia,2.0,0.0,,,,,
Saint Vincent and the Grenadines,1.0,0.0,,,,,
San Marino,144.0,20.0,33785.0,0.337998424,563.0833332999999,,
Saudi Arabia,392.0,0.0,33699947.0,1.7988753,15.67665431,23338.96346,0.607923521
Senegal,47.0,0.0,15854360.0,2.78193167,82.34747832,1521.953554,3.837062008
Serbia,171.0,1.0,6982084.0,-0.553799324,79.83174022,7246.731656,4.971964525
Seychelles,7.0,0.0,96762.0,0.954291918,210.3521739,16433.93529,2.6431477
Singapore,432.0,2.0,5638676.0,0.469704299,7952.998418000001,64581.94402,2.656150008
Slovakia,178.0,1.0,,,,,
Slovenia,383.0,1.0,2067372.0,0.04760799,102.6398595,26123.973869999998,4.068661066000001
Somalia,1.0,0.0,15008154.0,2.831767652,23.923476899999997,314.54416569999995,
South Africa,240.0,0.0,57779622.0,1.357697288,47.63011978,6374.028196,-0.572080197
Spain,25374.0,1375.0,46723749.0,0.279719893,93.52905826,30370.892330000002,2.065112042
Sri Lanka,77.0,0.0,21670000.0,1.048392958,345.558922,4102.48135,2.132746096
Sudan,2.0,1.0,41801533.0,2.392265265,,977.2736357000001,-4.629843228
Suriname,4.0,0.0,575991.0,0.958587769,3.69225,6234.044922,0.9278658870000001
Sweden,1763.0,20.0,10183175.0,1.23985371,25.00104343,54608.36025,0.9656200490000001
Switzerland,6575.0,75.0,8516543.0,0.762633818,215.5213784,82796.54716,1.969887247
Taiwan*,153.0,2.0,,,,,
Tanzania,6.0,0.0,56318348.0,2.981674115,63.57907879999999,1050.675254,2.11505516
Thailand,411.0,1.0,69428524.0,0.315448259,135.89720680000002,7273.563206999999,3.80126981
The Bahamas,0.0,0.0,,,,,
The Gambia,0.0,0.0,,,,,
Togo,16.0,0.0,7889094.0,2.445904207,145.0467733,679.2570836,2.375272507
Trinidad and Tobago,49.0,0.0,1389858.0,0.417170469,270.92748539999997,17129.913090000002,-0.66049439
Tunisia,60.0,1.0,11565204.0,1.145827766,74.44132338,3447.5079100000003,1.315252125
Turkey,670.0,9.0,82319724.0,1.490444868,106.96012890000002,9370.176344,1.305564285
Ukraine,47.0,3.0,44622516.0,-0.466430103,77.02966735,3095.173581,3.862732572
United Arab Emirates,153.0,2.0,9630959.0,1.50389676,135.6091101,43004.95336,0.207936371
Uruguay,110.0,0.0,3449299.0,0.367502623,19.70802765,17277.97011,1.247312548
Uzbekistan,43.0,0.0,32955400.0,1.734862316,77.46920545,1532.3716769999999,3.314122563
Venezuela,70.0,0.0,,,,,
Vietnam,94.0,0.0,95540395.0,0.992716375,308.1252459,2566.59695,6.018088398
Zambia,2.0,0.0,17351822.0,2.912801004,23.3414789,1539.900158,0.815169499
Denmark,1326.0,13.0,5797446.0,0.561579124,138.0673017,61350.347910000004,1.817932898
France,14282.0,562.0,66987244.0,0.182439829,122.33839569999999,41463.64402,1.539463118
Netherlands,3631.0,136.0,17231017.0,0.580410754,511.45791039999995,53024.05921,2.00369176
United Kingdom,5018.0,233.0,66488991.0,0.649023745,274.82739219999996,42943.90227,0.7297872059999999
Australia,1071.0,7.0,24992369.0,1.574848844,3.249129487,57373.68667999999,1.331877548
Canada,1277.0,19.0,37058856.0,1.409246617,4.075308214,46232.98962,0.47106597100000003
China,81305.0,3259.0,1392730000.0,0.455899679,148.34883330000002,9770.847087999999,6.082241155
Cruise Ship,712.0,8.0,,,,,
US,25489.0,307.0,,,,,
